prod_id,retailer,product_name,original_number_reviews,rating
P38347,sephora,Dandelion,1469,90
xlsImpprod4890006,ulta,Naked Basics,1462,90
P392516,sephora,Roller Lash Curling & Lifting Mascara,1458,80
P181802,sephora,Mineral Powder SPF 15,1453,90
P12635,sephora,Face & Body Liquid Makeup,1453,86
P122765,sephora,Quickliner for Eyes,1450,86
P393658,sephora,All Day Luminous Weightless Foundation,1447,70
P374936,sephora,Stay All Day® Liquid Lipstick,1445,84
P210589,sephora,Posietint,1436,86
P283903,sephora,Luminous Crème Lipstick,1433,90
VP11355,ulta,bareMinerals Mineral Veil,1430,94
P1274,sephora,Brow Zings,1429,88
P214216,sephora,Tinted Moisturizer SPF 20 - Illuminating,1421,88
P109908,sephora,Translucent Loose Setting Powder,1418,92
P375784,sephora,READY® Foundation Broad Spectrum SPF 20,1410,70
xlsImpprod3330137,ulta,Original Eye Shadow Primer Potion,1407,94
P212928,sephora,Diorshow Black Out Waterproof Mascara,1407,76
P153000,sephora,Jet Set Waterproof Eye Liner,1403,82
P312114,sephora,Maracuja Creaseless Concealer,1401,78
P81311,sephora,Lip Glaze,1394,82
P229206,sephora,CORALista,1388,90
P243801,sephora,Buxom Lashliner,1381,88
xlsImpprod2150078,ulta,Slim Lip Pencil,1378,88
P286205,sephora,Aqua Liner,1372,82
xlsImpprod5050009,ulta,Butter Gloss,1342,90
P219410,sephora,Brow Pen - Long Wearing Brow Tint,1340,78
xlsImpprod4370701,ulta,Gel Eyeliner Pencil,1339,86
P388108,sephora,Illusion® Hyaluronic Skin Tint,1336,86
P305701,sephora,'Hello Flawless!' Oxygen Wow Liquid Foundation,1335,74
P287104,sephora,VOLUPTÉ SHEER CANDY - Glossy Balm Crystal Color,1334,90
P310714,sephora,Rouge Shine Lipstick,1334,80
P379925,sephora,Smoky Extravagant Mascara,1332,82
P283905,sephora,High Pigment Pencil,1332,86
xlsImpprod4350375,ulta,Eye Shadow,1328,94
P295206,sephora,Watt's Up!,1328,88
xlsImpprod3460285,ulta,Hi Definition Photo Concealer Wand,1327,82
P313004,sephora,Color Lip Last,1323,80
P230201,sephora,High Definition Concealer,1323,80
P279510,sephora,Bottom Lash Mascara,1317,90
xlsImpprod820380,ulta,Boi-ing Concealer,1309,86
P377749,sephora,Fake Up Concealer,1309,78
xlsImpprod5960824,ulta,Miracle Complexion Sponge,1297,90
P61007,sephora,bareVitamins - Skin Rev-er Upper,1290,86
P167712,sephora,False Eye Lashes,1289,82
xlsImpprod3000333,ulta,Eye Crayon,1275,82
xlsImpprod3000335,ulta,Lip Crayon,1271,82
P305132,sephora,Buxom® Full-On™ Lip Cream,1270,92
P381176,sephora,Shimmering Skin Perfector™ Pressed,1269,94
xlsImpprod11951085,ulta,Roller Lash Mascara,1254,82
P262304,sephora,Clay Pot Waterproof Liner,1249,86
P302103,sephora,Sugar Advanced Therapy Lip Treatment,1243,88
P214230,sephora,Flawless Face Kit,1242,88
P1283,sephora,Lemon-Aid,1226,84
P378017,sephora,Ever-Matte Poreless Priming Perfector™,1223,72
prod2138921,ulta,bareMinerals Prime Time Foundation Primer Original,1220,90
P179924,sephora,"Lights, Camera, Splashes™ Waterproof Mascara",1220,76
P374568,sephora,Black Label Detox BB Beauty Balm,1209,84
P242120,sephora,bareMinerals Flawless Definition Mascara,1206,88
P290636,sephora,Hoola,1202,92
P392129,sephora,Shade + Light Contour Palette,1199,94
P303303,sephora,Outrageous Volume  Dramatic Volume Mascara,1174,68
P244437,sephora,Eyelash Curler,1172,86
xlsImpprod11771035,ulta,bareMinerals Complexion Rescue Tinted Hydrating Gel Cream Broad Spectrum SPF 30,1164,84
P238612,sephora,No Foundation Foundation,1160,78
P122748,sephora,Stay-Matte Sheer Pressed Powder,1153,88
P114407,sephora,Kajal Eye Liner,1145,80
P259605,sephora,Acne Solutions Liquid Makeup,1141,84
P1277,sephora,Dr. Feelgood,1139,74
P275309,sephora,Picture Perfect Duo,1137,82
xlsImpprod820382,ulta,Brow Zings,1136,88
P211616,sephora,Long Last Glosswear,1136,86
P377189,sephora,Pro Finish Multi-Use Powder Foundation,1134,80
P274001,sephora,Sugar Lip Polish,1131,86
P223416,sephora,Bear Naked Wipes,1127,84
P109927,sephora,Eye Basics,1126,88
fs1017872,ulta,True Match Super Blendable Makeup,1123,84
P397617,sephora,Touche Eclat Blur Perfector,1123,86
xlsImpprod3220083,ulta,Stippling Brush,1120,90
P375365,sephora,LE TEINT TOUCHE ÉCLAT Illuminating Foundation SPF 19,1101,88
P386335,sephora,Contour Kit,1098,82
xlsImpprod1100298,ulta,Hello Flawless,1098,88
P303104,sephora,Tinted Beauty Balm SPF 20,1096,84
